,Match Number,Home Team,Away Team,Home Team ID,Away Team ID,Home Score,Away Score,Group
0,3,REPUBBLICA CECA,TURCHIA,263,579,,,F
1,3,SCOZIA,UNGHERIA,462,487,0.0,1.0,A
2,3,CROAZIA,ITALIA,4,1,1.0,1.0,B
3,3,OLANDA,AUSTRIA,411,510,,,D
4,3,SLOVACCHIA,ROMANIA,475,486,,,E
5,3,ALBANIA,SPAGNA,463,2,0.0,1.0,B
6,3,INGHILTERRA,SLOVENIA,16,516,,,C
7,3,DANIMARCA,SERBIA,322,467,,,C
8,3,GEORGIA,PORTOGALLO,461,427,,,F
9,3,FRANCIA,POLONIA,423,488,,,D
10,3,UCRAINA,BELGIO,577,428,,,E
11,3,SVIZZERA,GERMANIA,418,11,1.0,1.0,A
12,2,CROAZIA,ALBANIA,4,463,2.0,2.0,B
13,2,DANIMARCA,INGHILTERRA,322,16,1.0,1.0,C
14,2,SCOZIA,SVIZZERA,462,418,1.0,1.0,A
15,2,OLANDA,FRANCIA,411,423,0.0,0.0,D
16,2,GEORGIA,REPUBBLICA CECA,461,263,1.0,1.0,F
17,2,BELGIO,ROMANIA,428,486,2.0,0.0,E
18,2,SLOVACCHIA,UCRAINA,475,577,1.0,2.0,E
19,2,GERMANIA,UNGHERIA,11,487,2.0,0.0,A
20,2,POLONIA,AUSTRIA,488,510,1.0,3.0,D
21,2,TURCHIA,PORTOGALLO,579,427,0.0,3.0,F
22,2,SPAGNA,ITALIA,2,1,1.0,0.0,B
23,2,SLOVENIA,SERBIA,516,467,1.0,1.0,C
24,1,POLONIA,OLANDA,488,411,1.0,2.0,D
25,1,AUSTRIA,FRANCIA,510,423,0.0,1.0,D
26,1,PORTOGALLO,REPUBBLICA CECA,427,263,2.0,1.0,F
27,1,UNGHERIA,SVIZZERA,487,418,1.0,3.0,A
28,1,GERMANIA,SCOZIA,11,462,5.0,1.0,A
29,1,BELGIO,SLOVACCHIA,428,475,0.0,1.0,E
30,1,ITALIA,ALBANIA,1,463,2.0,1.0,B
31,1,TURCHIA,GEORGIA,579,461,3.0,1.0,F
32,1,SERBIA,INGHILTERRA,467,16,0.0,1.0,C
33,1,SPAGNA,CROAZIA,2,4,3.0,0.0,B
34,1,SLOVENIA,DANIMARCA,516,322,1.0,1.0,C
35,1,ROMANIA,UCRAINA,486,577,3.0,0.0,E
