"Team.ID","Team.Name","total_shots","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Offensive Action","Goal","From inside the Penalty Area","Deflected","Corner","Big Chance","Direct Free Kick","Headed Shot","Own Goal","Lateral Free Kick","Post","Central Free Kick","Other","Throw-in"
1,"Italy",39,16,8,11,14,7,20,23,0,3,25,8,0,7,2,7,0,0,1,0,1,0
2,"Spain",115,64,22,54,52,30,45,50,1,14,63,9,0,19,3,16,1,0,1,0,0,0
4,"Croatia",39,21,7,13,14,13,17,17,1,2,25,4,0,4,0,9,1,0,0,0,0,0
11,"Germany",93,48,13,30,39,24,43,45,0,9,54,12,0,12,3,20,0,0,2,0,0,0
16,"England",70,43,20,26,34,14,33,27,0,7,36,6,0,5,3,11,0,0,3,0,0,0
263,"Czechia",38,29,8,14,17,17,16,9,0,3,21,5,0,7,0,7,0,0,1,0,1,0
322,"Denmark",44,24,9,12,19,13,24,20,0,2,25,4,0,5,1,8,0,0,0,0,0,0
411,"Netherlands",78,36,11,8,25,15,59,41,0,9,53,8,2,12,2,11,1,0,3,0,0,0
418,"Switzerland",58,34,10,23,21,13,32,24,0,8,37,5,1,12,2,3,0,0,1,0,0,0
423,"France",89,41,16,24,36,22,52,46,2,1,53,11,0,11,2,13,2,0,0,0,0,0
427,"Portugal",79,39,15,29,34,22,40,38,2,3,45,9,1,7,7,10,2,0,0,0,0,0
428,"Belgium",51,35,13,17,21,19,32,16,0,2,30,3,0,4,2,2,0,0,0,0,0,0
461,"Georgia",27,11,4,8,9,4,18,15,0,2,18,2,0,8,1,0,1,1,2,0,1,0
462,"Scotland",12,7,4,5,5,2,4,4,0,1,7,1,0,0,0,3,1,1,1,0,0,0
463,"Albania",29,17,3,10,15,11,17,12,0,3,14,5,0,4,1,2,0,0,0,0,0,0
467,"Serbia",24,12,6,7,10,5,11,12,0,1,14,3,0,2,1,6,0,0,1,0,0,0
475,"Slovakia",44,25,8,10,19,12,28,19,0,4,25,2,0,6,3,6,0,0,0,0,0,0
486,"Romania",35,19,4,8,20,11,25,16,0,3,15,2,0,3,2,2,0,0,0,0,0,0
487,"Hungary",27,14,3,6,9,8,15,13,0,2,18,4,0,8,2,6,0,0,2,0,0,0
488,"Poland",33,20,5,14,16,11,16,13,0,2,17,3,0,3,1,3,0,0,0,0,0,0
510,"Austria",47,32,12,8,18,14,28,14,1,5,29,5,0,8,1,11,1,0,0,0,0,0
516,"Slovenia",33,12,3,12,20,7,17,21,0,2,13,4,0,8,1,4,0,0,2,0,0,0
577,"Ukraine",38,22,11,15,20,9,21,16,0,2,18,2,1,4,3,2,0,0,2,0,0,0
579,"Turkiye",64,37,15,16,30,13,37,27,0,8,34,5,0,6,2,10,0,0,2,0,1,0
