"team.id","team.name","total_shots","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Offensive Action","Goal","From inside the Penalty Area","Deflected","Corner","Big Chance","Direct Free Kick","Headed Shot","Own Goal","Lateral Free Kick","Post","Central Free Kick","Other","Throw-in"
1,"Italy",49,29,13,26,24,13,19,19,1,4,25,3,0,6,3,4,1,0,1,0,0,0
2,"Spain",71,32,13,20,30,16,34,38,0,3,41,7,0,6,2,16,1,1,1,0,1,0
4,"Croatia",35,22,4,12,10,13,16,13,0,6,25,8,0,10,2,7,0,0,0,0,0,0
11,"Germany",39,24,9,16,20,10,19,14,0,3,19,3,0,7,3,4,1,1,0,0,0,0
16,"England",71,35,13,23,31,18,41,36,0,6,40,7,1,10,1,7,0,0,2,0,0,0
263,"Czechia",39,20,8,12,17,9,23,18,1,3,22,5,0,3,1,4,1,0,0,0,0,0
322,"Denmark",39,17,3,15,17,11,16,22,0,3,22,1,0,10,1,8,0,0,2,0,0,0
411,"Netherlands",64,33,10,22,28,17,32,30,1,5,36,7,0,9,2,9,1,0,2,0,1,0
418,"Switzerland",53,27,15,18,23,9,23,26,0,4,30,4,0,7,0,12,0,0,3,0,0,0
423,"France",48,27,7,14,21,15,29,21,0,2,27,10,0,5,5,5,0,0,0,0,0,0
427,"Portugal",45,22,9,18,27,11,26,23,0,2,18,3,0,6,1,1,0,0,0,0,0,0
428,"Belgium",54,24,8,13,25,14,33,29,1,1,29,3,1,4,1,8,1,0,0,0,0,0
461,"Georgia",95,61,22,41,49,31,40,34,0,8,46,8,1,12,3,13,0,0,2,0,1,0
462,"Scotland",44,22,6,15,18,12,24,22,0,6,26,3,0,6,2,5,0,0,2,0,0,0
463,"Albania",48,23,8,12,13,12,21,24,1,4,35,6,0,5,0,14,1,0,0,0,1,0
467,"Serbia",24,13,3,3,11,8,17,11,0,2,13,1,0,5,1,4,0,0,1,0,0,0
475,"Slovakia",48,28,9,12,20,11,31,20,0,4,28,5,0,4,3,5,0,0,3,0,0,0
486,"Romania",61,32,12,14,24,15,43,29,0,6,37,5,1,9,2,4,0,0,1,0,0,0
487,"Hungary",39,27,5,12,15,10,23,12,0,5,24,10,0,6,1,4,0,0,0,0,0,0
488,"Poland",50,32,10,9,20,15,37,18,0,4,30,7,0,4,0,4,0,0,0,0,0,0
510,"Austria",44,23,11,10,12,7,25,20,1,5,32,3,0,10,1,9,1,0,1,0,0,0
516,"Slovenia",50,26,11,17,20,13,20,24,0,2,30,5,0,4,5,13,0,0,1,0,0,0
577,"Ukraine",31,22,7,11,20,10,19,9,0,4,11,2,0,3,4,1,0,0,0,0,0,0
579,"Turkiye",65,37,14,15,22,16,39,26,1,6,43,6,1,14,1,11,2,0,2,0,0,0
